Brand,Price,Rating,Image,Link
"Refurbished Hp Elitebook 810 G2, Revolve Intel Corei5 8gb ram 256gb SSD Storage Windows 10 pro installed Office 2019 activated + Free Laptop Bag",22999,(1),,https://www.kilimall.co.ke//listing/1000331109-refurbished-hp-elitebook-810-g2-revolve-intel-corei5-8gb-ram-256gb-ssd-storage-windows-10-pro-installed-office-2019-activated-free-laptop-bag?skuId=10001147871
"[Core i5+8gb+256gb+14''] Refurbished Hp Elitebook 840 G3 Laptop Intel Core i5 6th Gen 8GB 256GB SSD 14""  Backlit Keyboard Notebook Laptop Computer Windows 11 Office",21999,(28),,https://www.kilimall.co.ke//listing/2482786-core-i58gb256gb14-refurbished-hp-elitebook-840-g3-laptop-intel-core-i5-6th-gen-8gb-256gb-ssd-14-backlit-keyboard-notebook-laptop-computer-windows-11-office?skuId=18129430
(SPECIAL OFFER) Lenovo ThinkPad T460s | Core i5 6TH Gen | 8GB RAM | 256gb ssd | Refurbished Laptop Computer | Notebook Black 14 inch,18999,(0),,https://www.kilimall.co.ke//listing/1000317282-special-offer-lenovo-thinkpad-t460s-core-i5-6th-gen-8gb-ram-256gb-ssd-refurbished-laptop-computer-notebook-black-14-inch?skuId=10001098699
"(SPECIAL OFFER) TOUCHSCREEN REFURBISHED LENOVO THINKPAD YOGA 11E 4GB RAM 128GB SSD , CELERON, 2 IN 1 LAPTOP , 5TH GENERATION X360",10999,(5),,https://www.kilimall.co.ke//listing/2987440-special-offer-touchscreen-refurbished-lenovo-thinkpad-yoga-11e-4gb-ram-128gb-ssd-celeron-2-in-1-laptop-5th-generation-x360?skuId=19774310
"(Free Mouse)Refurbished Laptop Lenovo Thinkpad T440P Core i5 6th 8GB+512GB+14"" Windows 11 14"" FHD Display Bluetooth Webcam WiFi Intel Graphics 6 Months Warranty laptops",20999,(2),,https://www.kilimall.co.ke//listing/1000336381-free-mouserefurbished-laptop-lenovo-thinkpad-t440p-core-i5-6th-8gb512gb14-windows-11-14-fhd-display-bluetooth-webcam-wifi-intel-graphics-6-months-warranty-laptops?skuId=10001169125
"[Black Friday Deals] Panasonic CF-SZ5: Intel Core i5,G6, 8GB RAM, Windows 10 Pro, Intel(R) CPU @2.40Ghz(4CPUs)256G BROM,laptop",11999,(29),,https://www.kilimall.co.ke//listing/1000238393-black-friday-deals-panasonic-cfsz5-intel-core-i5g6-8gb-ram-windows-10-pro-intelr-cpu-240ghz4cpus256g-bromlaptop?skuId=10001132781
Brand New  Lenovo Ideapad 1 | Intel Corei3-1215U 8GB 512SSD Storage14''inch HD Screen Display New School Business Cyber Laptop Computer NOTEBOOK,46999,(1),,https://www.kilimall.co.ke//listing/2436948-brand-new-lenovo-ideapad-1-intel-corei31215u-8gb-512ssd-storage14inch-hd-screen-display-new-school-business-cyber-laptop-computer-notebook?skuId=17906442
"(i5+8GB+500GB+14""+Free Mouse) Refurbished HP Elitebook 840 G3 i5 6th 8GB 500GB 14"" FHD 2.40Ghz Processor Backlight Bluetooth Webcam Intel HD Graphics Windows 11 Laptops",21999,(0),,https://www.kilimall.co.ke//listing/1000350009-i58gb500gb14free-mouse-refurbished-hp-elitebook-840-g3-i5-6th-8gb-500gb-14-fhd-240ghz-processor-backlight-bluetooth-webcam-intel-hd-graphics-windows-11-laptops?skuId=10001233172
"(i5+8GB+1TB+14""+Mouse) Refurbished HP Elitebook 840 G3 i5 6th 8GB 1000GB 14"" FHD 2.40Ghz Processor Backlight Bluetooth Webcam Intel HD Graphics Windows 11 Laptops",23999,(0),,https://www.kilimall.co.ke//listing/1000350082-i58gb1tb14mouse-refurbished-hp-elitebook-840-g3-i5-6th-8gb-1000gb-14-fhd-240ghz-processor-backlight-bluetooth-webcam-intel-hd-graphics-windows-11-laptops?skuId=10001233469
[Core i7+16gb+512gb+13.3'' Touch] Refurbished Hp 1040 G6  Laptop Core i7 Touchscreen  X360 16GB RAM + 512GB SSD Laptops 13.3 inch Computer Notebook,42999,(0),,https://www.kilimall.co.ke//listing/1000359109-core-i716gb512gb133-touch-refurbished-hp-1040-g6-laptop-core-i7-touchscreen-x360-16gb-ram-512gb-ssd-laptops-133-inch-computer-notebook?skuId=10001285737
Lenovo ThinkPad X1 Yoga X360 Intel Core i5 6th Gen 8GB RAM 256GB SSD 14 Inch Full HD Touchscreen 2 in 1 Convertible 2.4GHz up to 2.71GHz Dual Core Processor Refurbished Laptop + Stylus Pen,34000,(0),,https://www.kilimall.co.ke//listing/1000099505-lenovo-thinkpad-x1-yoga-x360-intel-core-i5-6th-gen-8gb-ram-256gb-ssd-14-inch-full-hd-touchscreen-2-in-1-convertible-24ghz-up-to-271ghz-dual-core-processor-refurbished-laptop-stylus-pen?skuId=10000218207
"( FREE 16GB FLASH ) Touchscreen Refurbished LENOVO YOGA 11E 4GB RAM 128GB SSD REFURBISHED LAPTOP , BLACK , 12"" INCH , INSTALLED WINDOWS 10 PRO",11699,(0),,https://www.kilimall.co.ke//listing/1000411392-free-16gb-flash-touchscreen-refurbished-lenovo-yoga-11e-4gb-ram-128gb-ssd-refurbished-laptop-black-12-inch-installed-windows-10-pro?skuId=10001556153
